id,text,sentiment
1906,Worst thing ever.,Negative
1907,Nothing special.,Neutral
1908,Terrible experience.,Negative
1909,"Well done, great job!",Positive
1910,This is fantastic!,Positive
1911,This is fantastic!,Positive
1912,It's okay.,Neutral
1913,It's just fine.,Neutral
1914,Really disappointed.,Negative
1915,Nothing special.,Neutral
1916,Terrible experience.,Negative
1917,Never buying this again.,Negative
1918,It's just fine.,Neutral
1919,Absolutely thrilled with this!,Positive
1920,Terrible experience.,Negative
1921,Absolutely thrilled with this!,Positive
1922,"Not bad, not great.",Neutral
1923,It's okay.,Neutral
1924,Never buying this again.,Negative
1925,This is fantastic!,Positive
1926,Terrible experience.,Negative
1927,Absolutely thrilled with this!,Positive
1928,Average at best.,Neutral
1929,Really disappointed.,Negative
1930,Really disappointed.,Negative
1931,This is fantastic!,Positive
1932,Worst thing ever.,Negative
1933,Amazing experience!,Positive
1934,"Not bad, not great.",Neutral
1935,Worst thing ever.,Negative
1936,Absolutely thrilled with this!,Positive
1937,Really disappointed.,Negative
1938,Worst thing ever.,Negative
1939,Amazing experience!,Positive
1940,"Well done, great job!",Positive
1941,Really disappointed.,Negative
1942,Amazing experience!,Positive
1943,I love this!,Positive
1944,Worst thing ever.,Negative
1945,"Well done, great job!",Positive
1946,"Not bad, not great.",Neutral
1947,Amazing experience!,Positive
1948,Really disappointed.,Negative
1949,This is fantastic!,Positive
1950,"Well done, great job!",Positive
1951,I hate this.,Negative
1952,Absolutely thrilled with this!,Positive
1953,I love this!,Positive
1954,Worst thing ever.,Negative
1955,Really disappointed.,Negative
1956,Never buying this again.,Negative
1957,I hate this.,Negative
1958,This is fantastic!,Positive
1959,Terrible experience.,Negative
1960,This is fantastic!,Positive
1961,It's okay.,Neutral
1962,This is fantastic!,Positive
1963,Terrible experience.,Negative
1964,Amazing experience!,Positive
1965,Nothing special.,Neutral
1966,Absolutely thrilled with this!,Positive
1967,Terrible experience.,Negative
1968,"Well done, great job!",Positive
1969,"Not bad, not great.",Neutral
1970,"Well done, great job!",Positive
1971,Never buying this again.,Negative
1972,I love this!,Positive
1973,This is fantastic!,Positive
1974,Really disappointed.,Negative
1975,Absolutely thrilled with this!,Positive
1976,"Not bad, not great.",Neutral
1977,Terrible experience.,Negative
1978,It's okay.,Neutral
1979,Absolutely thrilled with this!,Positive
1980,Really disappointed.,Negative
1981,"Not bad, not great.",Neutral
1982,"Well done, great job!",Positive
1983,It's okay.,Neutral
1984,"Well done, great job!",Positive
1985,I hate this.,Negative
1986,Amazing experience!,Positive
1987,"Well done, great job!",Positive
1988,Really disappointed.,Negative
1989,Never buying this again.,Negative
1990,I hate this.,Negative
1991,"Not bad, not great.",Neutral
1992,I love this!,Positive
1993,Absolutely thrilled with this!,Positive
1994,"Well done, great job!",Positive
1995,"Not bad, not great.",Neutral
1996,This is fantastic!,Positive
1997,"Not bad, not great.",Neutral
1998,"Not bad, not great.",Neutral
1999,Terrible experience.,Negative
2000,Amazing experience!,Positive
